"dr1vers","fr0nt","R3@R","kms","p3tr0lPrice","dr!versk!lled","V@nKilled","law","cloud rate"
"2077","919","443",0,"0,104946980916917","154","13","13756",33
"2092","920","412",0,"0,119357749193208","156","6","12531",69
"2051","953","400",0,"0,117621904277373","163","15","12568",61
"1577","664","278",0,"0,133027420877451","122","12","11249",23
"1356","607","302",0,"0,130845243689729","92","16","11096",41
"1652","777","381",0,"0,128318477474772","117","7","12637",89
"1382","633","279",0,"0,123547448292297","95","12","13018",63
"1519","791","442",0,"0,118586811514179","96","10","15005",49
"1421","790","409",0,"0,116337480161004","108","9","15235",85
"1442","803","416",0,"0,11516147558196","108","9","15552",69
"1543","884","511",0,"0,114501197216867","106","6","16905",64
"1656","769","393",0,"0,113522979499817","140","7","14776",76
"1561","732","345",0,"0,111930179432996","114","13","14104",2
"1905","859","391",0,"0,110610528503361","158","14","12854",18
"2199","994","470",0,"0,11527438914664","161","13","12956",4
"1473","704","266",0,"0,113793485966034","102","14","12177",87
"1655","684","312",0,"0,112349582098189","127","11","11918",72
"1407","671","300",0,"0,111753469387189","125","11","13517",65
"1395","643","373",0,"0,109642522576533","101","10","14417",75
"1530","771","412",0,"0,10844089510559","97","4","15911",11
"1309","644","322",0,"0,107884938936114","112","8","15589",79
"1526","828","458",0,"0,109084769191454","112","9","16543",79
"1327","748","427",0,"0,107571450111271","113","10","17925",57
"1627","767","346",0,"0,106164022368002","108","10","15406",56
"1748","825","421",0,"0,106299999323319","128","5","14601",15
"1958","810","344",0,"0,104825313000088","154","13","13107",79
"2274","986","370",0,"0,103451745711815","162","12","12268",52
"1648","714","291",0,"0,101449920129493","112","10","11972",61
"1401","567","224",0,"0,100402316427863","79","9","12028",89
"1411","616","266",0,"0,098862033680192","82","7","14033",36
"1403","678","338",0,"0,102496154313521","127","5","14244",3
"1394","742","298",0,"0,103027431599736","108","10","15287",7
"1520","840","386",0,"0,102178908220655","110","5","16954",68
"1528","888","479",0,"0,0998366428726473","123","6","17361",53
"1643","852","473",0,"0,0926366895833353","103","8","17694",24
"1515","774","332",0,"0,0918149629077569","97","6","16222",68
"1685","831","391",0,"0,090724303768407","140","12","14969",67
"2000","889","370",0,"0,0900212072768793","165","15","13624",11
"2215","1046","431",0,"0,0893307058230937","183","7","13842",74
"1956","889","366",0,"0,0884427348717763","148","14","12387",93
"1462","626","250",0,"0,0883525692744791","111","4","11608",87
"1563","808","355",0,"0,0867573619308237","116","10","15021",5
"1459","746","304",0,"0,0849952420449752","115","8","14834",88
"1446","754","379",0,"0,0845679437213488","100","7","16565",32
"1622","865","440",0,"0,0844318988774436","106","11","16882",89
"1657","980","500",0,"0,0843508831482932","134","3","18012",11
"1638","959","511",0,"0,0836009830491076","125","5","18855",74
"1643","856","384",0,"0,0834172630524962","117","11","17243",79
"1683","798","366",0,"0,0827451397987249","122","10","16045",60
"2050","942","432",0,"0,0852352669035281","153","10","14745",31
"2262","1010","390",0,"0,0847703028296526","178","7","13726",74
"1813","796","306",0,"0,0844589214084587","114","10","11196",45
"1445","643","232",0,"0,085352119244763","94","11","12105",59
"1762","794","342",0,"0,0875592125175749","128","9","14723",24
"1461","750","329",0,"0,0903829170614837","119","7","15582",35
"1556","809","394",0,"0,0907832937355188","111","8","16863",10
"1431","716","355",0,"0,108742780219868","110","13","16758",64
"1427","851","385",0,"0,114142227335262","114","8","17434",72
"1554","931","463",0,"0,112992933231466","118","5","18359",44
"1645","834","453",0,"0,111320706029796","115","8","17189",42
"1653","762","373",0,"0,109126229280665","132","7","16909",32
"2016","880","401",0,"0,107698459343112","153","12","15380",39
"2207","1077","466",0,"0,107601574334496","171","10","15161",7
"1665","748","306",0,"0,103775019202843","115","7","14027",38
"1361","593","263",0,"0,107114170431059","95","4","14478",17
"1506","720","323",0,"0,107374774370757","92","10","16155",84
"1360","646","310",0,"0,111695372689559","100","4","16585",33
"1453","765","424",0,"0,110638184592354","95","8","18117",74
"1522","820","403",0,"0,111855211329895","114","8","17552",74
"1460","807","406",0,"0,109742342683337","102","7","18299",2
"1552","885","466",0,"0,108193931510232","104","10","19361",79
"1548","803","381",0,"0,106255362697951","132","8","17924",87
"1827","860","369",0,"0,104193034427699","136","14","17872",99
"1737","825","378",0,"0,101933972880902","117","8","16058",66
"1941","911","392",0,"0,102793824574291","137","9","15746",70
"1474","704","284",0,"0,10476034144929","111","8","15226",59
"1458","691","316",0,"0,104002535534347","106","6","14932",47
"1542","688","321",0,"0,116655515402424","98","7","16846",9
"1404","714","358",0,"0,11516147558196","84","6","16854",23
"1522","814","378",0,"0,112989543494316","94","5","18146",25
"1385","736","382",0,"0,113860643932406","105","4","17559",15
"1641","876","433",0,"0,119118081064489","123","5","18655",86
"1510","829","506",0,"0,124489986005886","109","10","19453",72
"1681","818","428",0,"0,123222945411622","130","7","17923",93
"1938","942","479",0,"0,12067793212866","153","10","17915",21
"1868","782","370",0,"0,121048982651421","134","12","16496",48
"1726","823","349",0,"0,116968571491487","99","7","13544",73
"1456","595","238",0,"0,112750259392875","115","4","13601",98
"1445","673","285",0,"0,108079306704711","104","5","15667",43
"1456","660","324",0,"0,108838515984019","131","6","17358",56
"1365","676","346",0,"0,111291766408542","108","4","18112",75
"1487","755","410",0,"0,111304009176187","103","4","18581",4
"1558","815","411",0,"0,115454357532553","115","8","18759",71
"1488","867","496",0,"0,114768296055692","122","8","20668",56
"1684","933","534",0,"0,117207430931122","122","3","21040",50
"1594","798","396",0,"0,119076397031248","125","7","18993",11
"1850","950","470",0,"0,117965862171995","137","12","18668",97
"1998","825","385",0,"0,117449127100423","138","2","16768",75
"2079","911","411",0,"0,116988457838933","152","7","16551",60
"1494","619","281",0,"0,11261053571781","120","8","16231",85
"1057","426","300",0,"0,113657015681422","95","3","15511",74
"1218","475","318",0,"0,113144445252379","100","2","18308",67
"1168","556","391",0,"0,118495534815352","89","6","17793",99
"1236","559","398",0,"0,117969401200945","82","3","19205",98
"1076","483","337",0,"0,1176866141183","89","7","19162",58
"1174","587","477",0,"0,120059238961094","60","6","20997",40
"1139","615","422",0,"0,119437745680998","84","8","20705",92
"1427","618","495",0,"0,118881271786551","113","8","18759",13
"1487","662","471",0,"0,118462360710195","126","4","19240",8
"1483","519","368",0,"0,118016598400236","122","3","17504",2
"1513","585","345",0,"0,117706622543368","118","5","16591",6
"1357","483","296",0,"0,117776089941536","92","5","16224",87
"1165","434","319",0,"0,114796991716514","86","3","16670",17
"1282","513","349",0,"0,11573525277085","81","4","18539",32
"1110","548","375",0,"0,115356263024722","84","3","19759",78
"1297","586","441",0,"0,114815360704668","87","6","19584",71
"1185","522","465",0,"0,114777477886645","90","6","19976",77
"1222","601","472",0,"0,114935980147534","79","7","21486",72
"1284","644","521",0,"0,114796991716514","96","5","21626",75
"1444","643","429",0,"0,114093156728444","122","7","20195",17
"1575","641","408",0,"0,116465521799171","120","7","19928",71
"1737","711","490",0,"0,116026113132354","137","4","18564",55
"1763","721","491",0,"0,116066729379379","154","7","18149",19
